N,p,q,type,rad_odd_p,rad_odd_q,conductor_proxy,rho
1024,146,878,Composite,73,439,1027010209,2.99358
1024,147,877,Mixed,21,877,339185889,2.83375
1024,148,876,Composite,37,219,65658609,2.596848
1024,149,875,Mixed,149,35,27196225,2.46969
1024,150,874,Composite,15,437,42968025,2.535676
1024,151,873,Mixed,151,291,1930811481,3.084656
1024,152,872,Composite,19,109,4289041,2.203222
1024,153,871,Composite,51,871,1973225241,3.087791
1024,154,870,Composite,77,435,1121915025,3.006332
1024,155,869,Composite,155,869,18142743025,3.407867
1024,156,868,Composite,39,217,71622369,2.609391
1024,157,867,Mixed,157,51,64112049,2.593409
1024,158,866,Composite,79,433,1170118849,3.012401
1024,159,865,Composite,159,865,18915876225,3.413888
1024,160,864,Composite,5,3,225,0.781378
1024,161,863,Mixed,161,863,19305157249,3.416827
1024,162,862,Composite,3,431,1671849,2.067301
1024,163,861,Mixed,163,861,19696157649,3.41972
1024,164,860,Composite,41,215,77704225,2.621149
1024,165,859,Mixed,165,859,20088810225,3.422567
1024,166,858,Composite,83,429,1267858449,3.023975
1024,167,857,Goldbach,167,857,20483048161,3.425371
1024,168,856,Composite,21,107,5049009,2.226757
1024,169,855,Composite,13,285,13727025,2.371052
1024,170,854,Composite,85,427,1317327025,3.029497
1024,171,853,Mixed,57,853,2364001641,3.113858
1024,172,852,Composite,43,213,83887281,2.632195
1024,173,851,Mixed,173,851,21674611729,3.433529
1024,174,850,Composite,87,85,54686025,2.570467
1024,175,849,Composite,35,849,882981225,2.971781
1024,176,848,Composite,11,53,339889,1.83747
1024,177,847,Composite,177,77,185749641,2.746878
1024,178,846,Composite,89,141,157477401,2.723057
1024,179,845,Mixed,179,65,135373225,2.701237
1024,180,844,Composite,15,211,10017225,2.325598
1024,181,843,Mixed,181,843,23281571889,3.443847
1024,182,842,Composite,91,421,1467732721,3.045094
1024,183,841,Composite,183,29,28164249,2.474736
1024,184,840,Composite,23,105,5832225,2.247561
1024,185,839,Mixed,185,839,24091696225,3.448782
1024,186,838,Composite,93,419,1518427089,3.049993
1024,187,837,Composite,187,93,302446881,2.817211
1024,188,836,Composite,47,209,96491329,2.65239
1024,189,835,Composite,21,835,307476225,2.81959
1024,190,834,Composite,95,417,1569348225,3.054752
1024,191,833,Mixed,191,119,516607441,2.894449
1024,192,832,Composite,3,13,1521,1.05708
1024,193,831,Mixed,193,831,25722706689,3.458232
1024,194,830,Composite,97,415,1620465025,3.059376
1024,195,829,Mixed,195,829,26132339025,3.460512
1024,196,828,Composite,7,69,233289,1.783176
1024,197,827,Goldbach,197,827,26542600561,3.462759
1024,198,826,Composite,33,413,185749641,2.746878
1024,199,825,Mixed,199,165,1078137225,3.000589
1024,200,824,Composite,5,103,265225,1.801686
1024,201,823,Mixed,201,823,27364768929,3.46716
1024,202,822,Composite,101,411,1723163121,3.068241
1024,203,821,Mixed,203,821,27776555569,3.469315
1024,204,820,Composite,51,205,109307025,2.670381
1024,205,819,Composite,205,273,3132081225,3.154447
1024,206,818,Composite,103,409,1774684129,3.072492
1024,207,817,Composite,69,817,3177915129,3.156543
1024,208,816,Composite,13,51,439569,1.874573
1024,209,815,Composite,209,815,29014012225,3.475603
1024,210,814,Composite,105,407,1826280225,3.076626
1024,211,813,Mixed,211,813,29427000849,3.477642
1024,212,812,Composite,53,203,115756081,2.678651
1024,213,811,Mixed,213,811,29840144049,3.479654
1024,214,810,Composite,107,15,2576025,2.129672
1024,215,809,Mixed,215,809,30253384225,3.481638
